section,expected,covered,missing,coverage_rate
appeal_rights,1,1,0,1.0
general_policy,1,0,1,0.0
grievance_hearing,1,1,0,1.0
reasonable_accommodation,2,2,0,1.0
selection_criteria,1,1,0,1.0
