domain,url,final_url,status,http_status,content_type,bytes,saved_path,error
portal-applicant-tracking.us-cent.paycomonline.net,https://portal-applicant-tracking.us-cent.paycomonline.net/career-portal/sprawl.json,https://portal-applicant-tracking.us-cent.paycomonline.net/career-portal/sprawl.json,ok,200,application/json,259,research_results/third_party_downloads/portal-applicant-tracking.us-cent.paycomonline.net/portal-applicant-tracking.us-cent.paycomonline.net_career-portal_sprawl.json,
portal-applicant-tracking.us-cent.paycomonline.net,https://www.paycomonline.net/v4/ats/web.php/portal/BC8C4A60F87D82E71EF353A71CF59EEA/career-page,https://www.paycomonline.net/v4/ats/web.php/portal/BC8C4A60F87D82E71EF353A71CF59EEA/career-page,ok,200,text/html; charset=UTF-8,5736,research_results/third_party_downloads/portal-applicant-tracking.us-cent.paycomonline.net/www.paycomonline.net_v4_ats_web.php_portal_BC8C4A60F87D82E71EF353A71CF59EEA_career-page.html,
