risk_score,category,domain,content_type,title_guess,url,file_path,document_id,text_length,source,extraction_method,parse_date,dei_keywords,proxy_keywords,binding_keywords,applicability_tags
2,Unclassified local PDF,,,Submitted to the,file://research_results/documents/raw/57a271a61cfdda6b8b76a264c5c1a897.pdf,research_results/documents/parsed/57a271a61cfdda6b8b76a264c5c1a897.txt,57a271a61cfdda6b8b76a264c5c1a897,118329,third_party:batch_parallel,ocrmypdf_force+pdftotext,2025-12-31T03:29:51.225479,equity; inclusion; diversity; underrepresented; marginalized; inclusive; equitable; racial justice; underserved; cultural humility; accessibility; dei,,shall; standard; statewide; rule; policy; contract; agreement; ordinance; must; regulation; applicable to; compliance; required,hiring; procurement; training; housing; community engagement
2,Unclassified local PDF,,,DEPARTMENT OF,file://research_results/documents/raw/60ff12d7e79e6a9763b86f62b24ac6f4.pdf,research_results/documents/parsed/60ff12d7e79e6a9763b86f62b24ac6f4.txt,60ff12d7e79e6a9763b86f62b24ac6f4,94585,third_party:batch_parallel,ocrmypdf_force+pdftotext,2025-12-31T03:30:04.854550,equity; diversity; underrepresented; deib; inclusion; dei,,standard; statewide; contract; must; compliance; required,hiring; procurement; training; housing; community engagement
2,Unclassified local PDF,,,DEPARTMENT OF,file://research_results/documents/raw/645b1f978c1291384280119d20b07e77.pdf,research_results/documents/parsed/645b1f978c1291384280119d20b07e77.txt,645b1f978c1291384280119d20b07e77,88007,third_party:batch_parallel,ocrmypdf_force+pdftotext,2025-12-31T03:29:40.698842,equity; diversity; underrepresented; inclusive; equitable; inclusion; dei,,shall; mandatory; standard; statewide; policy; contract; agreement; governing; must; compliance; required,hiring; procurement; training; housing; community engagement
2,Infrastructure noise,schema.org,text/html,Person - Schema.org Type Note : You are viewing the development version of Schema.org . See how we work for more details. Schema.org Docs Schemas Validate About,https://schema.org/Person,research_results/documents/parsed/9e9cb48c1174c31afed273d1a674e5ba.txt,9e9cb48c1174c31afed273d1a674e5ba,67813,third_party:schema.org,,,diversity,,rule; standard; required,hiring; procurement; training; housing
2,Other third-party,d3uf7shreuzboy.cloudfront.net,application/json,"{ ""common"": { ""edit"": ""Modifier"", ""close"": ""Fermer"", ""closeSymbol"": ""×"", ""cancel"": ""Annuler"", ""insert"": ""Insérer"", ""selectTimezone"": ""Sélectionner un fuseau hor",https://d3uf7shreuzboy.cloudfront.net/WebRoot/stable/i18n/react-fr.c24098db.json,research_results/documents/parsed/7a83b025fa586877c6a5ea8493dc7719.txt,7a83b025fa586877c6a5ea8493dc7719,65489,third_party:d3uf7shreuzboy.cloudfront.net,,,accessibility; dei,,standard; required,hiring; procurement; training; housing; community engagement
2,Other third-party,d3uf7shreuzboy.cloudfront.net,application/json,"{ ""common"": { ""edit"": ""Editar"", ""close"": ""Cerrar"", ""closeSymbol"": ""×"", ""cancel"": ""Cancelar"", ""insert"": ""Insertar"", ""selectTimezone"": ""Seleccionar una zona horar",https://d3uf7shreuzboy.cloudfront.net/WebRoot/stable/i18n/react-es.5f80097a.json,research_results/documents/parsed/18a4457561e7c756d769d5af38c56b27.txt,18a4457561e7c756d769d5af38c56b27,63193,third_party:d3uf7shreuzboy.cloudfront.net,,,accessibility; dei,,standard; required,hiring; procurement; training
2,Unclassified local PDF,,,race forward »,file://research_results/documents/raw/c441d095b5efadcac83eadd5ad604240.pdf,research_results/documents/parsed/c441d095b5efadcac83eadd5ad604240.txt,c441d095b5efadcac83eadd5ad604240,57355,third_party:batch_parallel,ocrmypdf_force+pdftotext,2025-12-31T03:31:06.925466,equity; inclusion; social justice; diversity; inclusive; equitable; racial justice; people of color; minority,,standard; statewide; rule; policy; contract; must,hiring; procurement; training; housing
2,Other third-party,d3uf7shreuzboy.cloudfront.net,application/json,"{ ""common"": { ""edit"": ""Edit"", ""close"": ""Close"", ""closeSymbol"": ""×"", ""cancel"": ""Cancel"", ""insert"": ""Insert"", ""selectTimezone"": ""Select a timezone"", ""confirmation",https://d3uf7shreuzboy.cloudfront.net/WebRoot/stable/i18n/react-en.d711bacb.json,research_results/documents/parsed/4aacabcdbcf635327d725f4d380c2cc3.txt,4aacabcdbcf635327d725f4d380c2cc3,57087,third_party:d3uf7shreuzboy.cloudfront.net,,,accessibility; dei,,rule; must; standard; required,hiring; procurement; training; housing
2,Infrastructure noise,en.wikipedia.org,text/html; charset=UTF-8,ISO 8601 - Wikipedia Jump to content Main menu Main menu move to sidebar hide Navigation Main page Contents Current events Random article About Wikipedia Contac,https://en.wikipedia.org/wiki/ISO_8601,research_results/documents/parsed/097f2f6b250b065a6a9eb2d97f44d074.txt,097f2f6b250b065a6a9eb2d97f44d074,54745,third_party:en.wikipedia.org,,,inclusion; inclusive,,shall; standard; rule; policy; agreement; must; required,procurement
2,Infrastructure noise,en.wikipedia.org,text/html; charset=UTF-8,ISO 4217 - Wikipedia Jump to content Main menu Main menu move to sidebar hide Navigation Main page Contents Current events Random article About Wikipedia Contac,https://en.wikipedia.org/wiki/ISO_4217,research_results/documents/parsed/db13e23918ccc7cc83dae317c32a5d58.txt,db13e23918ccc7cc83dae317c32a5d58,53382,third_party:en.wikipedia.org,,,inclusion,,shall; standard; rule; policy; agreement; must; regulation; required,hiring; housing
