document_id,file_path,risk_score,dei_keywords,proxy_keywords,binding_keywords,applicability_tags,text_length
74c6bb8d3aa480a95207e0085fc1c4c0,research_results/documents/parsed/74c6bb8d3aa480a95207e0085fc1c4c0.txt,3,equity; minority; underrepresented; dei; accessibility; equitable; racial justice; inclusive; inclusion; diversity; bipoc; underserved,bipoc,standard; policy; agreement; shall; rule; required; must; statewide; contract; compliance; mandatory,hiring; procurement; training; housing; community engagement,75911
e074d302eac8c1251ce84c7611f87a01,research_results/documents/parsed/e074d302eac8c1251ce84c7611f87a01.txt,3,marginalized; equity; minority; underrepresented; dei; accessibility; underrepresented groups; equitable; racial justice; anti-racist; inclusive; people of color; inclusion; diversity; bipoc; equity framework; equity initiatives; underserved,inclusive environment; equity framework; bipoc; safe space; equity initiatives,standard; policy; agreement; applicability; rule; required; must; statewide; contract; compliance,hiring; procurement; training; housing; community engagement,245854
003c0bf391f9060e15360bb52c763605,research_results/documents/parsed/003c0bf391f9060e15360bb52c763605.txt,3,marginalized; equity; minority; social justice; underrepresented; dei; accessibility; equitable; racial justice; inclusive; people of color; inclusion; diversity; bipoc; equity lens; equity framework; underserved; equity initiatives,lived experience; barrier reduction; equity framework; bipoc; equity lens; equity initiatives; equity plan,standard; policy; applicable to; regulation; agreement; shall; rule; required; must; statewide; contract; compliance; mandatory,hiring; procurement; training; housing; community engagement,1288890
2cb743c45485324adc632bb0642bc614,research_results/documents/parsed/2cb743c45485324adc632bb0642bc614.txt,3,marginalized; equity; minority; social justice; underrepresented; dei; accessibility; equitable; racial justice; inclusive; people of color; inclusion; diversity; equity lens; equity initiatives; underserved; cultural humility,lived experience; equity initiatives; equity plan; equity lens,standard; policy; agreement; shall; governing; rule; required; must; statewide; contract; compliance; mandatory,hiring; procurement; training; housing; community engagement,178688
0907648c5876f269eb95f4122bbe6150,research_results/documents/parsed/0907648c5876f269eb95f4122bbe6150.txt,3,justice-centered; racial justice; equity; inclusion,lived experience,policy; governing; must; statewide; contract,procurement; housing,12324
77aef0247eed912205987be720f44eb3,research_results/documents/parsed/77aef0247eed912205987be720f44eb3.txt,3,equity; minority; underrepresented; dei; equitable; inclusive; inclusion; diversity; bipoc; underserved,bipoc; overcoming obstacles; first-generation,policy; regulation; agreement; governing; rule; required; must; standard; contract,hiring; procurement; training; housing; community engagement,540637
07a1076fa131f26b2cdcc68681afddbb,research_results/documents/parsed/07a1076fa131f26b2cdcc68681afddbb.txt,3,equity; minority; underrepresented; dei; accessibility; equitable; racial justice; inclusive; people of color; inclusion; diversity; underserved,safe space; inclusive environment; equity plan,policy; shall; rule; must; statewide; contract; mandatory,hiring; procurement; training; housing; community engagement,51150
f17c22e859e2c48b5a346d23fc10a3c0,research_results/documents/parsed/f17c22e859e2c48b5a346d23fc10a3c0.txt,3,marginalized; equity; accessibility; equitable; inclusion; diversity; equity framework; underserved,equity framework,standard; policy; rule; must; statewide; compliance,hiring; housing; community engagement,16147
a626e07c5852ed3bdb811988165371fe,research_results/documents/parsed/a626e07c5852ed3bdb811988165371fe.txt,3,equity; social justice; cultural responsiveness; accessibility; equitable; racial justice; inclusive; inclusion; diversity; equity initiatives,equity initiatives,statewide; contract; policy; shall,procurement; training; housing; community engagement,12584
544d76b9a259616a1c691b4f98098735,research_results/documents/parsed/544d76b9a259616a1c691b4f98098735.txt,3,equity; minority; underrepresented; dei; accessibility; equitable; racial justice; inclusive; people of color; inclusion; diversity; underserved,safe space; inclusive environment; equity plan,policy; shall; rule; must; statewide; contract; mandatory,hiring; procurement; training; housing; community engagement,51150
6431de02c3af80fab467e7aebdc1d17c,research_results/documents/parsed/6431de02c3af80fab467e7aebdc1d17c.txt,3,equity; minority; dei; accessibility; equitable; racial justice; inclusive; people of color; inclusion; diversity; bipoc; equity lens; underserved,bipoc; equity lens,standard; policy; regulation; agreement; shall; rule; required; must; statewide; contract; compliance,hiring; procurement; training; housing; community engagement,89754
dc398148018f34aaa217529c5dbcce3b,research_results/documents/parsed/dc398148018f34aaa217529c5dbcce3b.txt,3,equity; social justice; cultural responsiveness; accessibility; equitable; racial justice; inclusive; inclusion; diversity; equity initiatives; cultural humility,lived experience; equity initiatives; equity plan,policy; shall; agreement; statewide; contract,hiring; procurement; training; housing; community engagement,32626
3118d8dcd1c708d5160b1108a9b231ea,research_results/documents/parsed/3118d8dcd1c708d5160b1108a9b231ea.txt,3,equity; social justice; cultural responsiveness; dei; accessibility; equitable; racial justice; inclusive; inclusion; diversity; equity initiatives,equity initiatives,statewide; contract; policy; shall,hiring; procurement; training; housing; community engagement,35957
181bd6ec8cfef085a9c88f92bf6a1ca5,research_results/documents/parsed/181bd6ec8cfef085a9c88f92bf6a1ca5.txt,3,equity initiatives; equity; diversity,equity initiatives,policy; regulation; agreement; ordinance; compliance,hiring; housing; community engagement,6942
b7387a8f638b7ddd0b6a497e0d8d3e49,research_results/documents/parsed/b7387a8f638b7ddd0b6a497e0d8d3e49.txt,3,marginalized; equity; minority; underrepresented; dei; accessibility; underrepresented groups; equitable; inclusive; people of color; inclusion; diversity; bipoc; underserved,bipoc,policy; regulation; agreement; required; standard; contract; compliance,hiring; procurement; training; housing; community engagement,310529
65855a9e72d39c381c793fccf7e2afd0,research_results/documents/parsed/65855a9e72d39c381c793fccf7e2afd0.txt,3,equity; social justice; cultural responsiveness; accessibility; equitable; racial justice; inclusive; inclusion; diversity; equity initiatives; cultural humility,lived experience; equity initiatives; equity plan,policy; shall; agreement; statewide; contract,hiring; procurement; training; housing; community engagement,32684
1f3072ad9703ad0bed2e0dcd0a8d2d5c,research_results/documents/parsed/1f3072ad9703ad0bed2e0dcd0a8d2d5c.txt,3,marginalized; equity; social justice; underrepresented; dei; accessibility; equitable; anti-racist; inclusive; inclusion; diversity; bipoc; underserved,bipoc; lived experience; safe space,agreement; rule; required; must; standard,hiring; procurement; training; housing; community engagement,69627
a2f08c4c1146471bbf56e2808875d0b6,research_results/documents/parsed/a2f08c4c1146471bbf56e2808875d0b6.txt,3,marginalized; equity; minority; underrepresented; dei; accessibility; equitable; racial justice; inclusive; inclusion; diversity; bipoc; underserved,bipoc; lived experience,standard; policy; agreement; shall; rule; required; must; statewide; contract; compliance,hiring; procurement; training; housing; community engagement,210365
bbfc77a24628ff8e29dd977ba4c66095,research_results/documents/parsed/bbfc77a24628ff8e29dd977ba4c66095.txt,3,marginalized; equity; social justice; underrepresented; dei; accessibility; equitable; anti-racist; inclusive; inclusion; diversity; bipoc; equity framework; underserved,bipoc; equity framework,standard; policy; agreement; directive; required; must; statewide; contract,hiring; procurement; training; housing; community engagement,72989
a13956024790bc87e0defbaf2e9aaa63,research_results/documents/parsed/a13956024790bc87e0defbaf2e9aaa63.txt,3,marginalized; equity; minority; social justice; underrepresented; dei; accessibility; underrepresented groups; equitable; racial justice; anti-racist; inclusive; people of color; inclusion; diversity; bipoc; underserved,bipoc; lived experience; cultural competence,policy; regulation; rule; required; must; standard; contract; mandatory,hiring; procurement; training; housing; community engagement,405875
385a88a7fe2da014385f69da14fe3381,research_results/documents/parsed/385a88a7fe2da014385f69da14fe3381.txt,3,equity; social justice; cultural responsiveness; accessibility; equitable; racial justice; inclusive; inclusion; diversity; equity initiatives; cultural humility,equity initiatives,policy; shall; agreement; statewide; contract,hiring; procurement; training; housing; community engagement,22905
