score,url,source,gov_hint,entity_hits,keyword_hits
8,https://www.quantumresidential.com/fair-housing,research_results/kg_prioritized_download_queue_20251231.json,False,ntia,fair-housing
8,https://www.quantumresidential.com/complaints,research_results/kg_prioritized_download_queue_20251231.json,False,ntia,complaint
8,https://www.quantumresidential.com/rfp,research_results/kg_prioritized_download_queue_20251231.json,False,ntia,rfp
8,https://www.quantumresidential.com/rfq,research_results/kg_prioritized_download_queue_20251231.json,False,ntia,rfq
8,https://www.quantumresidential.com/procurement,research_results/kg_prioritized_download_queue_20251231.json,False,ntia,procurement
8,http://www.quantumresidential.com/policies,research_results/kg_prioritized_download_queue_20251231.json,False,ntia,policies
8,http://www.quantumresidential.com/policy,research_results/kg_prioritized_download_queue_20251231.json,False,ntia,policy
8,http://www.quantumresidential.com/nondiscrimination,research_results/kg_prioritized_download_queue_20251231.json,False,ntia,nondiscrimination
8,http://www.quantumresidential.com/non-discrimination,research_results/kg_prioritized_download_queue_20251231.json,False,ntia,non-discrimination
8,http://www.quantumresidential.com/civil-rights,research_results/kg_prioritized_download_queue_20251231.json,False,ntia,civil-rights
8,http://www.quantumresidential.com/fair-housing,research_results/kg_prioritized_download_queue_20251231.json,False,ntia,fair-housing
8,http://www.quantumresidential.com/complaints,research_results/kg_prioritized_download_queue_20251231.json,False,ntia,complaint
8,http://www.quantumresidential.com/rfp,research_results/kg_prioritized_download_queue_20251231.json,False,ntia,rfp
8,http://www.quantumresidential.com/rfq,research_results/kg_prioritized_download_queue_20251231.json,False,ntia,rfq
8,http://www.quantumresidential.com/procurement,research_results/kg_prioritized_download_queue_20251231.json,False,ntia,procurement
8,https://quantumresidential.com/policies,research_results/kg_prioritized_download_queue_20251231.json,False,ntia,policies
8,https://quantumresidential.com/policy,research_results/kg_prioritized_download_queue_20251231.json,False,ntia,policy
8,https://quantumresidential.com/nondiscrimination,research_results/kg_prioritized_download_queue_20251231.json,False,ntia,nondiscrimination
8,https://quantumresidential.com/non-discrimination,research_results/kg_prioritized_download_queue_20251231.json,False,ntia,non-discrimination
8,https://quantumresidential.com/civil-rights,research_results/kg_prioritized_download_queue_20251231.json,False,ntia,civil-rights
8,https://quantumresidential.com/fair-housing,research_results/kg_prioritized_download_queue_20251231.json,False,ntia,fair-housing
8,https://quantumresidential.com/complaints,research_results/kg_prioritized_download_queue_20251231.json,False,ntia,complaint
8,https://quantumresidential.com/rfp,research_results/kg_prioritized_download_queue_20251231.json,False,ntia,rfp
8,https://quantumresidential.com/rfq,research_results/kg_prioritized_download_queue_20251231.json,False,ntia,rfq
8,https://quantumresidential.com/procurement,research_results/kg_prioritized_download_queue_20251231.json,False,ntia,procurement
8,http://quantumresidential.com/policies,research_results/kg_prioritized_download_queue_20251231.json,False,ntia,policies
8,http://quantumresidential.com/policy,research_results/kg_prioritized_download_queue_20251231.json,False,ntia,policy
8,http://quantumresidential.com/nondiscrimination,research_results/kg_prioritized_download_queue_20251231.json,False,ntia,nondiscrimination
8,http://quantumresidential.com/non-discrimination,research_results/kg_prioritized_download_queue_20251231.json,False,ntia,non-discrimination
8,http://quantumresidential.com/civil-rights,research_results/kg_prioritized_download_queue_20251231.json,False,ntia,civil-rights
8,http://quantumresidential.com/fair-housing,research_results/kg_prioritized_download_queue_20251231.json,False,ntia,fair-housing
8,http://quantumresidential.com/complaints,research_results/kg_prioritized_download_queue_20251231.json,False,ntia,complaint
8,http://quantumresidential.com/rfp,research_results/kg_prioritized_download_queue_20251231.json,False,ntia,rfp
8,http://quantumresidential.com/rfq,research_results/kg_prioritized_download_queue_20251231.json,False,ntia,rfq
8,http://quantumresidential.com/procurement,research_results/kg_prioritized_download_queue_20251231.json,False,ntia,procurement
7,https://www.hud.gov/contracts,research_results/kg_prioritized_download_queue_20251231.json,True,,contract;contracts
7,http://www.hud.gov/contracts,research_results/kg_prioritized_download_queue_20251231.json,True,,contract;contracts
7,https://www.hudexchange.info/contracts,research_results/kg_prioritized_download_queue_20251231.json,True,,contract;contracts
7,http://www.hudexchange.info/contracts,research_results/kg_prioritized_download_queue_20251231.json,True,,contract;contracts
7,https://files.hudexchange.info/contracts,research_results/kg_prioritized_download_queue_20251231.json,True,,contract;contracts
7,http://files.hudexchange.info/contracts,research_results/kg_prioritized_download_queue_20251231.json,True,,contract;contracts
7,https://www.oregon.gov/contracts,research_results/kg_prioritized_download_queue_20251231.json,True,,contract;contracts
7,http://www.oregon.gov/contracts,research_results/kg_prioritized_download_queue_20251231.json,True,,contract;contracts
7,https://sos.oregon.gov/contracts,research_results/kg_prioritized_download_queue_20251231.json,True,,contract;contracts
7,http://sos.oregon.gov/contracts,research_results/kg_prioritized_download_queue_20251231.json,True,,contract;contracts
6,https://www.oregon.gov/boli/about/pages/rulemaking.aspx,research_results/kg_prioritized_download_queue_20251231.json,True,boli,
6,https://www.oregon.gov/boli/workers/pages/discrimination-at-work.aspx,research_results/kg_prioritized_download_queue_20251231.json,True,boli,
6,https://www.oregon.gov/boli/workers/pages/hiring-discrimination.aspx,research_results/kg_prioritized_download_queue_20251231.json,True,boli,
6,https://oregonbuys.gov/,research_results/kg_prioritized_download_queue_20251231.json,True,oregonbuys,
6,https://apps.oregon.gov/Application/CDN/Enterprise/images/logos/Oregon/oregon-gov-color.svg?v=03_04_2025,research_results/kg_prioritized_download_queue_20251231.json,True,rise,
6,https://www.oregon.gov/ohcs/about-us/Pages/equity-and-racial-justice.aspx,research_results/kg_prioritized_download_queue_20251231.json,True,ohcs,
6,https://www.google.com/search?q=https://www.oregon.gov/ohcs/about-us/Pages/equity-and-racial-justice.aspx,research_results/kg_prioritized_download_queue_20251231.json,True,ohcs,
6,https://oregonbuys.gov,research_results/kg_prioritized_download_queue_20251231.json,True,oregonbuys,
6,http://oregonbuys.gov,research_results/kg_prioritized_download_queue_20251231.json,True,oregonbuys,
6,https://oregonbuys.gov/about,research_results/kg_prioritized_download_queue_20251231.json,True,oregonbuys,
6,https://oregonbuys.gov/about-us,research_results/kg_prioritized_download_queue_20251231.json,True,oregonbuys,
6,https://oregonbuys.gov/who-we-are,research_results/kg_prioritized_download_queue_20251231.json,True,oregonbuys,
6,https://oregonbuys.gov/mission,research_results/kg_prioritized_download_queue_20251231.json,True,oregonbuys,
6,https://oregonbuys.gov/leadership,research_results/kg_prioritized_download_queue_20251231.json,True,oregonbuys,
6,https://oregonbuys.gov/programs,research_results/kg_prioritized_download_queue_20251231.json,True,oregonbuys,
6,https://oregonbuys.gov/services,research_results/kg_prioritized_download_queue_20251231.json,True,oregonbuys,
6,https://oregonbuys.gov/resources,research_results/kg_prioritized_download_queue_20251231.json,True,oregonbuys,
6,https://oregonbuys.gov/publications,research_results/kg_prioritized_download_queue_20251231.json,True,oregonbuys,
6,https://oregonbuys.gov/reports,research_results/kg_prioritized_download_queue_20251231.json,True,oregonbuys,
6,https://oregonbuys.gov/documents,research_results/kg_prioritized_download_queue_20251231.json,True,oregonbuys,
6,https://oregonbuys.gov/fairhousing,research_results/kg_prioritized_download_queue_20251231.json,True,oregonbuys,
6,https://oregonbuys.gov/grants,research_results/kg_prioritized_download_queue_20251231.json,True,oregonbuys,
6,http://oregonbuys.gov/about,research_results/kg_prioritized_download_queue_20251231.json,True,oregonbuys,
6,http://oregonbuys.gov/about-us,research_results/kg_prioritized_download_queue_20251231.json,True,oregonbuys,
6,http://oregonbuys.gov/who-we-are,research_results/kg_prioritized_download_queue_20251231.json,True,oregonbuys,
6,http://oregonbuys.gov/mission,research_results/kg_prioritized_download_queue_20251231.json,True,oregonbuys,
6,http://oregonbuys.gov/leadership,research_results/kg_prioritized_download_queue_20251231.json,True,oregonbuys,
6,http://oregonbuys.gov/programs,research_results/kg_prioritized_download_queue_20251231.json,True,oregonbuys,
6,http://oregonbuys.gov/services,research_results/kg_prioritized_download_queue_20251231.json,True,oregonbuys,
6,http://oregonbuys.gov/resources,research_results/kg_prioritized_download_queue_20251231.json,True,oregonbuys,
6,http://oregonbuys.gov/publications,research_results/kg_prioritized_download_queue_20251231.json,True,oregonbuys,
6,http://oregonbuys.gov/reports,research_results/kg_prioritized_download_queue_20251231.json,True,oregonbuys,
6,http://oregonbuys.gov/documents,research_results/kg_prioritized_download_queue_20251231.json,True,oregonbuys,
6,http://oregonbuys.gov/fairhousing,research_results/kg_prioritized_download_queue_20251231.json,True,oregonbuys,
6,http://oregonbuys.gov/grants,research_results/kg_prioritized_download_queue_20251231.json,True,oregonbuys,
5,https://www.quantumresidential.com/2022/01/27/what-is-multifamily-property-management/,research_results/kg_prioritized_download_queue_20251231.json,False,ntia,
5,https://www.quantumresidential.com/2022/02/10/what-does-multifamily-manager-do/,research_results/kg_prioritized_download_queue_20251231.json,False,ntia,
5,https://www.quantumresidential.com/property/edison-park/,research_results/kg_prioritized_download_queue_20251231.json,False,ntia,
5,https://www.quantumresidential.com/property/spurling-court/,research_results/kg_prioritized_download_queue_20251231.json,False,ntia,
5,https://www.quantumresidential.com/wp-content/uploads/2022/02/what-does-a-multifamily-manager-do-scaled.jpg,research_results/kg_prioritized_download_queue_20251231.json,False,ntia,
5,https://www.quantumresidential.com/wp-content/uploads/2022/03/multifamily-property-management-1.jpg,research_results/kg_prioritized_download_queue_20251231.json,False,ntia,
5,https://www.quantumresidential.com/wp-content/uploads/2024/02/Spurling-Exterior.jpg,research_results/kg_prioritized_download_queue_20251231.json,False,ntia,
5,https://www.quantumresidential.com/wp-content/uploads/2024/03/edison-park-apartments-sunnyside-wa-building-photo-1.jpg,research_results/kg_prioritized_download_queue_20251231.json,False,ntia,
5,https://www.quantumresidential.com/wp-content/plugins/gravityforms/js/jquery.json.min.js?ver=2.8.11,research_results/kg_prioritized_download_queue_20251231.json,False,ntia,
5,https://www.quantumresidential.com/wp-content/plugins/gravityforms/js/jquery.maskedinput.min.js?ver=2.8.11,research_results/kg_prioritized_download_queue_20251231.json,False,ntia,
5,https://www.quantumresidential.com/wp-content/uploads/2018/04/logo-mobile-100x62.png,research_results/kg_prioritized_download_queue_20251231.json,False,ntia,
5,https://www.quantumresidential.com/wp-content/uploads/2022/03/multifamily-property-management-1-300x200.jpg,research_results/kg_prioritized_download_queue_20251231.json,False,ntia,
5,https://www.quantumresidential.com/robots.txt,research_results/kg_prioritized_download_queue_20251231.json,False,ntia,
5,https://quantumresidential.com/robots.txt,research_results/kg_prioritized_download_queue_20251231.json,False,ntia,
5,https://www.quantumresidential.com/post-sitemap.xml,research_results/kg_prioritized_download_queue_20251231.json,False,ntia,
5,https://www.quantumresidential.com/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/2022/02/24/questions-to-ask-residential-property-manager/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/2022/03/10/difference-between-residential-and-commercial-property-management/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/2022/04/13/attributes-good-property-manager-possess/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/2022/04/14/what-is-property-maintenance/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/2022/04/28/what-is-resident-retention/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/about/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/accessiblity/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/career/full-time-maintenance-tech-portland/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/career/full-time-maintenance-tech-vancouver/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/career/full-time-property-manager-maintenance-specialist/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/career/porter/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/career/tax-credit-manager-2/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/career/tax-credit-manager/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/careers/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/category/uncategorized/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/contact/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property-search/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/18th-street-apartments/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/albina-one/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/aloha-project/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/bascom-village-ii/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/bellrose-station/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/berg-rose/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/beyer-court-apartments/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/blue-heron-hollow/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/camas-apartments/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/canopy-at-powell/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/cascade-manor/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/casey-apartments/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/cashmere-park/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/cathedral-village/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/chestnut-grove/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/country-squire/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/crescent-court-apartments/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/east-county-project/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/eastgate-station/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/easton-ridge/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/elk-creek-terrace/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/firland-apartments/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/forest-park-apartments/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/fruit-valley-commons-south/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/greenview-terrace/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/hampton-court/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/hawthorn-29th-place/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/hayden-bridge-landing/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/hillside-manor/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/holgate-project/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/huntington-court/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/jim-and-salles-place/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/johnson-creek-commons/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/joice-taylor/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/leander-court/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/lents-2000/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/lents-village/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/lewis-clark-plaza/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/market-district-commons/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/marla-manor/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/munsel-park/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/new-winds/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/oaks-14th/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/orchards-of-82nd/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/paragon/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/park-village/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/pennsylvania-place/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/pine-point/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/pinewood-terrace/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/richardson-bridge/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/rose-sfr/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/sarang/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/selah-park/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/terrace-glen-apartments/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/terracina-vista/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/the-commons-on-mlk/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/the-keystone/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/the-nel/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/valley-commons-i/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/valley-commons-ii/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/victorian-olive-court/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/village-place/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/vineyard-i/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/vineyard-ii/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/westcott/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/westview-villa/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/windsor-park/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/woody-guthrie/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/wynne-watts/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/property/z-street-lofts/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/residents/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/service/service-1/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/service/service-2/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/service/service-3/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/services/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/terms-and-conditions/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/thank-you/,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/wp-content/uploads/2018/04/easton-ridge-apartments-e1527807159125.jpg,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
5,https://www.quantumresidential.com/wp-content/uploads/2018/07/BV-015.jpg,research_results/quantum_pages_from_sitemaps_queue.json,False,ntia,
