candidate_type,candidate,domain,score,mentions,source_count,sample_sources
domain,www.guidestar.org,www.guidestar.org,89,27,18,research_results/third_party_downloads/raceforward.org/www.raceforward.org.html | research_results/third_party_downloads/raceforward.org/www.raceforward.org_641110ad5f.html | research_results/third_party_downloads/raceforward.org/www.raceforward.org_projects-programs-_26-initiatives_cultural-week-of-action.html | research_results/third_party_downloads/raceforward.org/www.raceforward.org_reporting-guide.html | research_results/third_party_downloads/www.charitynavigator.org/www.charitynavigator.org.html
domain,www.aiim.org,www.aiim.org,88,365,32,research_results/documents/parsed/e8e523e92fbd99969a6dcda98a9f5dd8.txt | research_results/hacc_documents/P4_Reference_36867457-a5cd-478f-b81f-222803002958 | research_results/hacc_documents/P4_Reference_41bcf6d9-0a13-4536-a9ea-20c5b490d2fc | research_results/hacc_documents/P4_Reference_a979bd35-6fa9-431f-ac1e-d738f3e5597c | research_results/hacc_documents/P4_Reference_d5b9bae1-d423-44a4-b6a7-bc7f13b7f221
domain,give.raceforward.org,give.raceforward.org,88,26,26,research_results/third_party_downloads/colorlines.com/colorlines.com.html | research_results/third_party_downloads/colorlines.com/colorlines.com_about-us.html | research_results/third_party_downloads/colorlines.com/colorlines.com_articles_supreme-court-case-affirmative-action-explained.html | research_results/third_party_downloads/colorlines.com/colorlines.com_bd1555a1fc.html | research_results/third_party_downloads/colorlines.com/colorlines.com_categories_media.html
domain,api.connectedcommunity.org,api.connectedcommunity.org,86,26,26,research_results/third_party_downloads/community.aiim.org/community.aiim.org_about-us.html | research_results/third_party_downloads/community.aiim.org/community.aiim.org_about.html | research_results/third_party_downloads/community.aiim.org/community.aiim.org_communities_all-chapters.html | research_results/third_party_downloads/community.aiim.org/community.aiim.org_home.html | research_results/third_party_downloads/community.aiim.org/community.aiim.org_home_d091adac78.html
domain,www.higherlogic.com,www.higherlogic.com,86,26,26,research_results/third_party_downloads/community.aiim.org/community.aiim.org_about-us.html | research_results/third_party_downloads/community.aiim.org/community.aiim.org_about.html | research_results/third_party_downloads/community.aiim.org/community.aiim.org_communities_all-chapters.html | research_results/third_party_downloads/community.aiim.org/community.aiim.org_home.html | research_results/third_party_downloads/community.aiim.org/community.aiim.org_home_d091adac78.html
domain,www.threads.net,www.threads.net,83,21,21,research_results/third_party_downloads/api.w.org/developer.wordpress.org_rest-api.html | research_results/third_party_downloads/api.w.org/developer.wordpress.org_rest-api_55e12db766.html | research_results/third_party_downloads/raceforward.org/www.raceforward.org.html | research_results/third_party_downloads/raceforward.org/www.raceforward.org_641110ad5f.html | research_results/third_party_downloads/raceforward.org/www.raceforward.org_projects-programs-_26-initiatives_cultural-week-of-action.html
domain,abs.twimg.com,abs.twimg.com,82,54,9,research_results/third_party_downloads/x.com/x.com.html | research_results/third_party_downloads/x.com/x.com_HUDExchangeInfo.html | research_results/third_party_downloads/x.com/x.com_OSBANews.html | research_results/third_party_downloads/x.com/x.com_about-us.html | research_results/third_party_downloads/x.com/x.com_c95ba9082e.html
domain,cdn.mycourse.app,cdn.mycourse.app,82,16,8,research_results/third_party_downloads/obiu.org/obiu.org.html | research_results/third_party_downloads/obiu.org/obiu.org_4ba94aeb9f.html | research_results/third_party_downloads/obiu.org/obiu.org_9fdd6f809a.html | research_results/third_party_downloads/obiu.org/obiu.org_about.html | research_results/third_party_downloads/obiu.org/obiu.org_course_stages-of-targeted-univeralism-part2.html
org_name,Legal Services,,82,15,15,research_results/documents/parsed/3118d8dcd1c708d5160b1108a9b231ea.txt | research_results/documents/parsed/385a88a7fe2da014385f69da14fe3381.txt | research_results/documents/parsed/65855a9e72d39c381c793fccf7e2afd0.txt | research_results/documents/parsed/d222d253ff69a82ff3faca1b694d631e.txt | research_results/documents/parsed/dc398148018f34aaa217529c5dbcce3b.txt
org_name,Southern Poverty Law Center,,82,14,14,research_results/documents/parsed/3118d8dcd1c708d5160b1108a9b231ea.txt | research_results/documents/parsed/385a88a7fe2da014385f69da14fe3381.txt | research_results/documents/parsed/65855a9e72d39c381c793fccf7e2afd0.txt | research_results/documents/parsed/a626e07c5852ed3bdb811988165371fe.txt | research_results/documents/parsed/d222d253ff69a82ff3faca1b694d631e.txt
org_name,San Francisco Ballet Center,,82,14,14,research_results/documents/parsed/3118d8dcd1c708d5160b1108a9b231ea.txt | research_results/documents/parsed/385a88a7fe2da014385f69da14fe3381.txt | research_results/documents/parsed/65855a9e72d39c381c793fccf7e2afd0.txt | research_results/documents/parsed/a626e07c5852ed3bdb811988165371fe.txt | research_results/documents/parsed/d222d253ff69a82ff3faca1b694d631e.txt
org_name,Leadership Council,,82,14,14,research_results/documents/parsed/3118d8dcd1c708d5160b1108a9b231ea.txt | research_results/documents/parsed/385a88a7fe2da014385f69da14fe3381.txt | research_results/documents/parsed/65855a9e72d39c381c793fccf7e2afd0.txt | research_results/documents/parsed/a626e07c5852ed3bdb811988165371fe.txt | research_results/documents/parsed/d222d253ff69a82ff3faca1b694d631e.txt
org_name,California Institute,,82,14,14,research_results/documents/parsed/3118d8dcd1c708d5160b1108a9b231ea.txt | research_results/documents/parsed/385a88a7fe2da014385f69da14fe3381.txt | research_results/documents/parsed/65855a9e72d39c381c793fccf7e2afd0.txt | research_results/documents/parsed/a626e07c5852ed3bdb811988165371fe.txt | research_results/documents/parsed/d222d253ff69a82ff3faca1b694d631e.txt
org_name,Futuna Western Sahara Yemen Zambia Zimbabwe Birthday Company,,82,14,14,research_results/documents/parsed/3118d8dcd1c708d5160b1108a9b231ea.txt | research_results/documents/parsed/385a88a7fe2da014385f69da14fe3381.txt | research_results/documents/parsed/65855a9e72d39c381c793fccf7e2afd0.txt | research_results/documents/parsed/a626e07c5852ed3bdb811988165371fe.txt | research_results/documents/parsed/d222d253ff69a82ff3faca1b694d631e.txt
domain,app.aiim.org,app.aiim.org,81,27,16,research_results/third_party_downloads/community.aiim.org/community.aiim.org_about-us.html | research_results/third_party_downloads/community.aiim.org/community.aiim.org_about.html | research_results/third_party_downloads/community.aiim.org/community.aiim.org_communities_all-chapters.html | research_results/third_party_downloads/community.aiim.org/community.aiim.org_home.html | research_results/third_party_downloads/community.aiim.org/community.aiim.org_home_d091adac78.html
domain,github.githubassets.com,github.githubassets.com,81,27,9,research_results/third_party_downloads/github.com/github.com.html | research_results/third_party_downloads/github.com/github.com_about-us.html | research_results/third_party_downloads/github.com/github.com_about.html | research_results/third_party_downloads/github.com/github.com_d7b3438d97.html | research_results/third_party_downloads/github.com/github.com_facebook_open-graph-protocol.html
domain,www.hud.gov,www.hud.gov,80,34,16,research_results/oregon_documents/P2_Procurement_&_Rules_fair_housing_equal_opp | research_results/oregon_p1p2_downloads/fair_housing_equal_opp.html | research_results/oregon_p1p2_downloads/fairhousing.html | research_results/third_party_downloads/www.hud.gov/www.hud.gov.html | research_results/third_party_downloads/www.hud.gov/www.hud.gov_ba31fc7545.html
org_name,Kirwan Institute,,79,13,13,research_results/documents/parsed/3118d8dcd1c708d5160b1108a9b231ea.txt | research_results/documents/parsed/385a88a7fe2da014385f69da14fe3381.txt | research_results/documents/parsed/65855a9e72d39c381c793fccf7e2afd0.txt | research_results/documents/parsed/c441d095b5efadcac83eadd5ad604240.txt | research_results/documents/parsed/d222d253ff69a82ff3faca1b694d631e.txt
domain,jobs.aiim.org,jobs.aiim.org,78,45,15,research_results/third_party_downloads/info.aiim.org/info.aiim.org_aiim-blog.html | research_results/third_party_downloads/info.aiim.org/info.aiim.org_aiim-demo-day-idp-and-automation-excellence-2026.html | research_results/third_party_downloads/info.aiim.org/info.aiim.org_demystifying-document-management-content-management-information-management-and-content-services.html | research_results/third_party_downloads/info.aiim.org/info.aiim.org_ebook-enterprise-ai-and-analytics-2025.html | research_results/third_party_downloads/info.aiim.org/info.aiim.org_state-of-the-intelligent-information-management-industry-2025.html
domain,www.hudexchange.info,www.hudexchange.info,78,22,15,research_results/hacc_documents/P4_Reference_76861a83-9a1a-43ee-becb-f8556827f676 | research_results/oregon_documents/P3_Regulatory_index.aspx | research_results/oregon_p1p2_downloads/fairhousing.html | research_results/third_party_downloads/www.hud.gov/www.hud.gov.html | research_results/third_party_downloads/www.hud.gov/www.hud.gov_ba31fc7545.html
domain,learn.racialequityalliance.org,learn.racialequityalliance.org,78,15,15,research_results/third_party_downloads/www.racialequityalliance.org/www.racialequityalliance.org_about.html | research_results/third_party_downloads/www.racialequityalliance.org/www.racialequityalliance.org_blogs_gare-team_2025_12_09_ithaca-local-meeting.html | research_results/third_party_downloads/www.racialequityalliance.org/www.racialequityalliance.org_blogs_gare-team_2025_12_11_navigating-racial-equity-work-when-leaderships-sup.html | research_results/third_party_downloads/www.racialequityalliance.org/www.racialequityalliance.org_blogs_gare-team_2025_12_16_government-at-just-narratives.html | research_results/third_party_downloads/www.racialequityalliance.org/www.racialequityalliance.org_home.html
org_name,Help Center,,78,15,15,research_results/documents/parsed/8c21469e1d654a8bbc0bf84492c7aa71.txt | research_results/oregon_documents/P3_Regulatory_rulemaking.aspx | research_results/oregon_p1p2_downloads/rulemaking.aspx | research_results/third_party_downloads/www.hudhre.info/www.sttimothyswilson.org_worship.html | research_results/third_party_downloads/www.hudhre.info/www.sttimothyswilson.org_worship_8ea7bf0ee9.html
domain,cmsv2-assets.apptegy.net,cmsv2-assets.apptegy.net,76,164,2,research_results/third_party_downloads/tinyurl.com/www.umatilla.k12.or.us_article_2583213.html | research_results/third_party_downloads/tinyurl.com/www.umatilla.k12.or.us_article_2597337.html
domain,www.quantumresidential.com,www.quantumresidential.com,76,142,10,research_results/third_party_downloads/quantumresidential.com/www.quantumresidential.com.html | research_results/third_party_downloads/quantumresidential.com/www.quantumresidential.com_2cbeae6f0a.html | research_results/third_party_downloads/quantumresidential.com/www.quantumresidential.com_about.html | research_results/third_party_downloads/quantumresidential.com/www.quantumresidential.com_services.html | research_results/third_party_downloads/www.bbb.org/www.bbb.org_us_wa_vancouver_profile_property-management_quantum-residential-inc-1296-22139264.html
domain,thrillshare-cmsv2.services.thrillshare.com,thrillshare-cmsv2.services.thrillshare.com,76,54,2,research_results/third_party_downloads/tinyurl.com/www.umatilla.k12.or.us_article_2583213.html | research_results/third_party_downloads/tinyurl.com/www.umatilla.k12.or.us_article_2597337.html
domain,pdf.guidestar.org,pdf.guidestar.org,76,24,1,research_results/third_party_downloads/www.guidestar.org/www.guidestar.org_profile_shared_89796459-f7f6-4286-b0df-2352a87aef3f.html
domain,kirwaninstitute.osu.edu,kirwaninstitute.osu.edu,76,9,9,research_results/documents/parsed/9992a1019c1a850d63d4e6c5f0ef450b.txt | research_results/documents/parsed/c441d095b5efadcac83eadd5ad604240.txt | research_results/third_party_downloads/obiu.org/obiu.org.html | research_results/third_party_downloads/obiu.org/obiu.org_4ba94aeb9f.html | research_results/third_party_downloads/obiu.org/obiu.org_9fdd6f809a.html
org_name,Chan Zuckerberg Initiative,,76,12,12,research_results/documents/parsed/3118d8dcd1c708d5160b1108a9b231ea.txt | research_results/documents/parsed/385a88a7fe2da014385f69da14fe3381.txt | research_results/documents/parsed/65855a9e72d39c381c793fccf7e2afd0.txt | research_results/documents/parsed/d222d253ff69a82ff3faca1b694d631e.txt | research_results/documents/parsed/dc398148018f34aaa217529c5dbcce3b.txt
org_name,Gates Foundation,,76,12,12,research_results/documents/parsed/3118d8dcd1c708d5160b1108a9b231ea.txt | research_results/documents/parsed/385a88a7fe2da014385f69da14fe3381.txt | research_results/documents/parsed/65855a9e72d39c381c793fccf7e2afd0.txt | research_results/documents/parsed/d222d253ff69a82ff3faca1b694d631e.txt | research_results/documents/parsed/dc398148018f34aaa217529c5dbcce3b.txt
org_name,InterFaith Leadership Council,,76,12,12,research_results/documents/parsed/3118d8dcd1c708d5160b1108a9b231ea.txt | research_results/documents/parsed/385a88a7fe2da014385f69da14fe3381.txt | research_results/documents/parsed/65855a9e72d39c381c793fccf7e2afd0.txt | research_results/documents/parsed/d222d253ff69a82ff3faca1b694d631e.txt | research_results/documents/parsed/dc398148018f34aaa217529c5dbcce3b.txt
