document_id,file_path,risk_score,dei_keywords,proxy_keywords,binding_keywords,applicability_tags,text_length
adcf7235f7f3bbc0db58cf35869d2d55,research_results/documents/parsed/adcf7235f7f3bbc0db58cf35869d2d55.txt,2,diversity; inclusion; equity,,policy; applicable to; agreement,hiring; training; housing,21062
4aacabcdbcf635327d725f4d380c2cc3,research_results/documents/parsed/4aacabcdbcf635327d725f4d380c2cc3.txt,2,dei,,standard; required; must,training; housing,57087
592c84071aa2e1e2c199fe14a36d610c,research_results/documents/parsed/592c84071aa2e1e2c199fe14a36d610c.txt,2,diversity; underserved; equity,,contract; required; must; statewide; policy,hiring; procurement; training; housing,51615
39aacc6287ece4d98183827562496c5e,research_results/documents/parsed/39aacc6287ece4d98183827562496c5e.txt,2,diversity; dei; inclusion; equity,,contract; shall; statewide; mandatory,procurement; housing,13084
f17c22e859e2c48b5a346d23fc10a3c0,research_results/documents/parsed/f17c22e859e2c48b5a346d23fc10a3c0.txt,2,diversity; inclusion; underserved; equity,,policy; standard; statewide; must,hiring; housing,15914
0605239e9e394ac73f36ee2d115a566f,research_results/documents/parsed/0605239e9e394ac73f36ee2d115a566f.txt,2,diversity; dei; inclusion; equity,,standard; required; must; shall; statewide,hiring; training; housing,11831
a626e07c5852ed3bdb811988165371fe,research_results/documents/parsed/a626e07c5852ed3bdb811988165371fe.txt,2,diversity; inclusion; equity,,policy; contract; shall; statewide,procurement; training; housing,12584
07815e32e695fa0202bb1b593746c401,research_results/documents/parsed/07815e32e695fa0202bb1b593746c401.txt,2,equity,,policy; required,hiring; procurement; training; housing,10560
24cbe0113967a4f6725bb7683d5ad024,research_results/documents/parsed/24cbe0113967a4f6725bb7683d5ad024.txt,2,equity,,policy,,913
e1ab2e335f7e813fd3cfbd5c10ab62b6,research_results/documents/parsed/e1ab2e335f7e813fd3cfbd5c10ab62b6.txt,2,diversity; equity,,policy,hiring; training; housing,17516
7a83b025fa586877c6a5ea8493dc7719,research_results/documents/parsed/7a83b025fa586877c6a5ea8493dc7719.txt,2,dei,,standard; required,hiring; training; housing,65489
244dee6f75bb503ebdcf3d3df5729d4a,research_results/documents/parsed/244dee6f75bb503ebdcf3d3df5729d4a.txt,2,diversity,,policy; standard; required,training,17140
3118d8dcd1c708d5160b1108a9b231ea,research_results/documents/parsed/3118d8dcd1c708d5160b1108a9b231ea.txt,2,diversity; dei; inclusion; equity,,policy; contract; shall; statewide,hiring; procurement; training; housing,35957
c03fa557fce41394cb3254c013c5736b,research_results/documents/parsed/c03fa557fce41394cb3254c013c5736b.txt,2,equity,,policy,,913
181bd6ec8cfef085a9c88f92bf6a1ca5,research_results/documents/parsed/181bd6ec8cfef085a9c88f92bf6a1ca5.txt,2,diversity; equity,,policy; ordinance; agreement,hiring; housing,6942
ffb8613e7bb63a09a1349a4f4cd7e90b,research_results/documents/parsed/ffb8613e7bb63a09a1349a4f4cd7e90b.txt,2,inclusion; underserved; dei; underrepresented; equity; diversity,,policy; standard; required; must,training; housing,22565
19fe65d220983b78d9b82406f68a7436,research_results/documents/parsed/19fe65d220983b78d9b82406f68a7436.txt,2,diversity; inclusion; equity,,policy,training; housing,2946
57a271a61cfdda6b8b76a264c5c1a897,research_results/documents/parsed/57a271a61cfdda6b8b76a264c5c1a897.txt,2,inclusion; underserved; dei; underrepresented; equity; diversity,,contract; standard; ordinance; applicable to; required; must; shall; statewide; policy; agreement,hiring; procurement; training; housing,114632
a1550d1abc15f930d2e7861bcdf06840,research_results/documents/parsed/a1550d1abc15f930d2e7861bcdf06840.txt,2,equity,,policy; required,hiring; procurement; training; housing,6177
942ef0696af0624037562a90533f3a2f,research_results/documents/parsed/942ef0696af0624037562a90533f3a2f.txt,2,equity,,standard,,961
3280f67cdb07a327ce492b515521ebce,research_results/documents/parsed/3280f67cdb07a327ce492b515521ebce.txt,2,equity,,policy,training; housing,2434
4b919881b559c56832bdfb54da9e035e,research_results/documents/parsed/4b919881b559c56832bdfb54da9e035e.txt,2,diversity; inclusion; equity,,policy,hiring; training; housing,7187
6edb45aeefba069c869f50585373f1c6,research_results/documents/parsed/6edb45aeefba069c869f50585373f1c6.txt,2,equity,,policy,procurement; training; housing,5019
17d6cf0baacf85a5dc3bdc2d4e886207,research_results/documents/parsed/17d6cf0baacf85a5dc3bdc2d4e886207.txt,2,diversity,,policy; standard,hiring; housing,19229
c441d095b5efadcac83eadd5ad604240,research_results/documents/parsed/c441d095b5efadcac83eadd5ad604240.txt,2,diversity; inclusion; equity,,contract; standard; must; statewide; policy,hiring; procurement; training; housing,53834
0e1e03d72717fb6325339c86021d7ea8,research_results/documents/parsed/0e1e03d72717fb6325339c86021d7ea8.txt,2,equity,,policy,housing,4359
db13e23918ccc7cc83dae317c32a5d58,research_results/documents/parsed/db13e23918ccc7cc83dae317c32a5d58.txt,2,inclusion,,standard; required; must; shall; policy; agreement,hiring; housing,53382
2195e7212f1c4ad1e4ee1c0bb15a46b1,research_results/documents/parsed/2195e7212f1c4ad1e4ee1c0bb15a46b1.txt,2,diversity,,standard; applicable to; required,hiring; procurement; training; housing,37079
c2c9284f53c491b8423127ffa00215af,research_results/documents/parsed/c2c9284f53c491b8423127ffa00215af.txt,2,equity,,policy; contract; required,procurement; housing,4055
385a88a7fe2da014385f69da14fe3381,research_results/documents/parsed/385a88a7fe2da014385f69da14fe3381.txt,2,diversity; inclusion; equity,,contract; shall; statewide; policy; agreement,hiring; procurement; training; housing,22905
6e6c69b294212c64d1c617f261e70841,research_results/documents/parsed/6e6c69b294212c64d1c617f261e70841.txt,2,inclusion; underserved; dei; underrepresented; equity; diversity,,policy; must,hiring; procurement; training; housing,36369
ee02c83be8b5d732d469696cbae371d2,research_results/documents/parsed/ee02c83be8b5d732d469696cbae371d2.txt,2,diversity,,policy; standard,hiring; housing,19110
